Date,ORCL,RACE,TCS.NS
2020-01-03 00:00:00+00:00,-0.003521824628717529,-0.010563164425387628,0.019929090420689244
2020-01-06 00:00:00+00:00,0.005208381747325852,-0.0052779322651783644,-9.086005532366048e-05
2020-01-07 00:00:00+00:00,0.002220557547220281,-0.0037986425060442253,0.0024541101157511402
2020-01-08 00:00:00+00:00,-0.0005538917906461327,0.020094371389059562,0.022394949863654867
2020-01-09 00:00:00+00:00,0.004618510900921802,0.008128696039821692,-0.018135418398736336
2020-01-10 00:00:00+00:00,0.0012872323179349277,0.008239620188982277,-0.00036130186864846703
2020-01-13 00:00:00+00:00,0.002387531061408543,0.017395340435515383,-0.01048087942902276
2020-01-14 00:00:00+00:00,0.0054965047086139585,-0.01572086946998008,0.0075557805600159345
2020-01-15 00:00:00+00:00,-0.002186638925773532,0.00600407322048313,0.009062486240884793
2020-01-16 00:00:00+00:00,0.012235244780478993,0.004809374332184868,0.0053438174171414055
2020-01-17 00:00:00+00:00,-0.0054122178496999185,0.0030563333608457643,-0.008799334796417702
2020-01-22 00:00:00+00:00,-0.009054690129426168,-0.005914434771149724,0.016512679445126466
2020-01-23 00:00:00+00:00,0.00475143120857302,-0.0049676561610888514,-0.007227310651894969
2020-01-24 00:00:00+00:00,-0.016551470625477793,0.0012771463352996282,-0.0034460161100835496
2020-01-27 00:00:00+00:00,-0.025522490769448458,-0.02568409546333228,-0.00648067370918215
2020-01-28 00:00:00+00:00,0.014613787774390818,0.01904193329444115,0.006684337904805826
2020-01-29 00:00:00+00:00,-0.004863417994496744,0.008175146840784686,-0.013348552876359498
2020-01-30 00:00:00+00:00,0.0020676806160535577,-0.0009846404573129464,-0.00777406443925277
2020-01-31 00:00:00+00:00,-0.016132068808807687,-0.02121978486770071,-0.02750428989038478
2020-02-03 00:00:00+00:00,0.01220208542114376,0.008470516607874234,0.011279166263983287
2020-02-04 00:00:00+00:00,0.01789415634223057,-0.010102797184746715,0.0024970273483948535
2020-02-05 00:00:00+00:00,0.01295338177424643,-0.003856843892437123,0.018408278414482337
2020-02-06 00:00:00+00:00,-0.0005480926758163474,0.0054800937704733155,-0.008478698729531553
2020-02-07 00:00:00+00:00,0.00018282099063871016,-0.012085358459954287,0.003852726664144601
2020-02-10 00:00:00+00:00,0.004934218781806665,0.004737398482520971,0.0118882786563701
2020-02-11 00:00:00+00:00,0.0029096170672560095,0.02154581047209181,-0.003954785735669097
2020-02-12 00:00:00+00:00,0.010516736179694508,0.01536567870853367,0.008057071813445393
2020-02-13 00:00:00+00:00,-0.007536303111343234,-0.008516000832696657,0.009766187341644583
2020-02-14 00:00:00+00:00,0.0028927832840259793,0.005513301385307923,-0.0035356646696502736
2020-02-19 00:00:00+00:00,-0.00018038117390173358,0.008667803010036002,-0.008755456321223098
2020-02-20 00:00:00+00:00,0.0012626207892887376,-0.007588865350153018,-0.018007169654022492
2020-02-25 00:00:00+00:00,-0.032098810872314365,-0.009080378774453113,0.019287495120881015
2020-02-26 00:00:00+00:00,0.021389328339293634,-0.009968427125935042,-0.015096262394427296
2020-02-27 00:00:00+00:00,-0.024399624906419004,-0.023827377761254098,-0.008523307978854588
2020-02-28 00:00:00+00:00,-0.025994480633236727,0.010634913838526439,-0.05003560939726315
2020-03-02 00:00:00+00:00,0.02911448580795306,0.02193348154590935,0.0005749690773317884
2020-03-03 00:00:00+00:00,-0.04027510786449651,-0.02778990633180567,0.01743861564595761
2020-03-04 00:00:00+00:00,0.034595752184138684,0.02328851690660838,0.0230822125169734
2020-03-05 00:00:00+00:00,-0.05025723920687508,-0.03859584893970547,0.020089333063159742
2020-03-06 00:00:00+00:00,-0.013125022252400753,-0.013035927970679095,-0.004047009462667783
2020-03-09 00:00:00+00:00,-0.028710167638111295,-0.09495332923972366,-0.06808569959622701
2020-03-12 00:00:00+00:00,-0.11001793044148811,-0.09123314041873554,-0.09410348578637162
2020-03-13 00:00:00+00:00,0.20427138753673213,0.0945456786428025,0.020595007342427474
2020-03-16 00:00:00+00:00,-0.10870016798038806,-0.09108793622624023,-0.06084261830439652
2020-03-17 00:00:00+00:00,0.09691009530313632,0.056371735796890476,-0.022636184780370994
2020-03-18 00:00:00+00:00,0.008749463125733214,-0.018739459389181534,-0.0021712759866933107
2020-03-19 00:00:00+00:00,-0.04654116229394123,0.01976869702465578,-0.01091032915967094
2020-03-20 00:00:00+00:00,0.01286891135970647,0.02092173134015818,0.0984508069725436
2020-03-23 00:00:00+00:00,-0.03198253779558469,-0.07208367536958504,-0.07107291077379452
2020-03-24 00:00:00+00:00,0.08259790991875704,0.11930499573932196,0.020033583410426825
2020-03-25 00:00:00+00:00,-0.03971575083233203,0.0628492638989464,0.027684011236933426
2020-03-26 00:00:00+00:00,0.09882457664872102,0.02025181855530578,0.023224533628372068
2020-03-27 00:00:00+00:00,-0.012876341463469942,-0.04548921128424299,0.018733102399747237
2020-03-30 00:00:00+00:00,0.010636138065854395,0.028394284753028964,-0.025212386955330235
2020-03-31 00:00:00+00:00,-0.04030974493037642,-0.011147747985991052,0.026764113346043006
2020-04-01 00:00:00+00:00,0.007862554086927487,-0.0270040648764035,-0.06426262370891478
2020-04-08 00:00:00+00:00,0.026989810714805662,0.05140632850169591,-0.03929134853454419
2020-04-09 00:00:00+00:00,0.020141937762260476,0.019674039915392516,0.03559182326076371
2020-04-13 00:00:00+00:00,-0.003948835713944443,-0.023051421752112056,-0.003906816702251348
2020-04-16 00:00:00+00:00,0.010158030795284656,0.0245683718345866,-0.011007679634149947
