date,race,team,position,points,wins,year
2024-05-19,Emilia Romagna Grand Prix,Ferrari,2,212.0,1,2024
2024-05-26,Monaco Grand Prix,Ferrari,2,252.0,2,2024
2024-06-09,Canadian Grand Prix,Ferrari,2,252.0,2,2024
2024-06-23,Spanish Grand Prix,Ferrari,2,270.0,2,2024
2024-06-30,Austrian Grand Prix,Ferrari,2,291.0,2,2024
2024-07-07,British Grand Prix,Ferrari,2,302.0,2,2024
2024-07-21,Hungarian Grand Prix,Ferrari,3,322.0,2,2024
2024-07-28,Belgian Grand Prix,Ferrari,3,345.0,2,2024
2024-08-25,Dutch Grand Prix,Ferrari,3,370.0,2,2024
2024-09-01,Italian Grand Prix,Ferrari,3,407.0,3,2024
2024-09-15,Azerbaijan Grand Prix,Ferrari,3,425.0,3,2024
2024-09-22,Singapore Grand Prix,Ferrari,3,441.0,3,2024
2024-10-20,United States Grand Prix,Ferrari,3,496.0,4,2024
2024-10-27,Mexico City Grand Prix,Ferrari,2,537.0,5,2024
2024-11-03,São Paulo Grand Prix,Ferrari,2,557.0,5,2024
2024-11-23,Las Vegas Grand Prix,Ferrari,2,584.0,5,2024
2024-12-01,Qatar Grand Prix,Ferrari,2,619.0,5,2024
2024-12-08,Abu Dhabi Grand Prix,Ferrari,2,652.0,5,2024
2024-12-08,Abu Dhabi Grand Prix,Ferrari,2,652.0,6,2024
