Date,RACE
2020-01-02,163.06988525390625
2020-01-03,161.34735107421875
2020-01-06,160.49575805664062
2020-01-07,159.8861083984375
2020-01-08,163.09890747070312
2020-01-09,164.4246826171875
2020-01-10,165.77947998046875
2020-01-13,168.6632843017578
2020-01-14,166.01173400878906
2020-01-15,167.00848388671875
2020-01-16,167.81167602539062
2020-01-17,168.3245849609375
2020-01-21,168.5277862548828
2020-01-22,167.53103637695312
2020-01-23,166.69883728027344
2020-01-24,166.91171264648438
2020-01-27,162.62474060058594
2020-01-28,165.72142028808594
2020-01-29,167.0762176513672
2020-01-30,166.91171264648438
2020-01-31,163.369873046875
2020-02-03,164.75372314453125
2020-02-04,163.0892333984375
2020-02-05,162.46023559570312
2020-02-06,163.35052490234375
2020-02-07,161.37635803222656
2020-02-10,162.14088439941406
2020-02-11,165.6343231201172
2020-02-12,168.17942810058594
2020-02-13,166.74720764160156
2020-02-14,167.66653442382812
2020-02-18,171.93414306640625
2020-02-19,173.4244384765625
2020-02-20,172.1083526611328
2020-02-21,167.31813049316406
2020-02-24,157.72808837890625
2020-02-25,156.2958526611328
2020-02-26,154.7378387451172
2020-02-27,151.0508270263672
2020-02-28,152.65724182128906
2020-03-02,156.00555419921875
2020-03-03,151.670166015625
2020-03-04,155.2023468017578
2020-03-05,149.2122039794922
2020-03-06,147.26705932617188
2020-03-09,133.28358459472656
2020-03-10,141.61561584472656
2020-03-11,138.42213439941406
2020-03-12,125.79344940185547
2020-03-13,137.68670654296875
2020-03-16,125.14508819580078
2020-03-17,132.19970703125
2020-03-18,129.7223663330078
2020-03-19,132.28683471679688
2020-03-20,135.05447387695312
2020-03-23,125.31926727294922
2020-03-24,140.27047729492188
2020-03-25,149.0863800048828
2020-03-26,152.10565185546875
2020-03-27,145.1864776611328
2020-03-30,149.30894470214844
2020-03-31,147.64450073242188
2020-04-01,143.657470703125
2020-04-02,137.27056884765625
2020-04-03,130.47718811035156
2020-04-06,142.26397705078125
2020-04-07,141.75108337402344
2020-04-08,149.03799438476562
2020-04-09,151.9701690673828
2020-04-13,148.46702575683594
2020-04-14,150.73147583007812
2020-04-15,145.73809814453125
2020-04-16,149.31863403320312
2020-04-17,156.13133239746094
2020-04-20,153.10743713378906
2020-04-21,149.34336853027344
2020-04-22,154.0923309326172
2020-04-23,153.1171875
2020-04-24,152.46383666992188
2020-04-27,154.56039428710938
2020-04-28,151.9860076904297
2020-04-29,153.3414764404297
2020-04-30,151.75196838378906
2020-05-01,145.28677368164062
2020-05-04,154.5896453857422
2020-05-05,152.16152954101562
2020-05-06,151.82998657226562
2020-05-07,153.3707275390625
2020-05-08,155.89634704589844
2020-05-11,156.0718994140625
2020-05-12,153.00991821289062
2020-05-13,150.91336059570312
2020-05-14,150.9621124267578
2020-05-15,153.4779815673828
2020-05-18,158.71450805664062
2020-05-19,154.3166046142578
2020-05-20,154.84320068359375
2020-05-21,154.8139190673828
2020-05-22,156.4911651611328
2020-05-26,158.7340087890625
2020-05-27,159.30935668945312
2020-05-28,162.54684448242188
2020-05-29,164.51663208007812
2020-06-01,165.2382354736328
2020-06-02,166.95448303222656
2020-06-03,171.8107147216797
2020-06-04,169.6654052734375
2020-06-05,166.6034393310547
2020-06-08,168.3099365234375
2020-06-09,170.17247009277344
2020-06-10,171.3133544921875
2020-06-11,161.18162536621094
2020-06-12,163.7169952392578
2020-06-15,165.4820098876953
2020-06-16,165.47227478027344
2020-06-17,165.5892791748047
2020-06-18,164.3898468017578
2020-06-19,164.029052734375
2020-06-22,167.18850708007812
2020-06-23,168.74876403808594
2020-06-24,164.4971160888672
2020-06-25,165.86231994628906
2020-06-26,165.40399169921875
2020-06-29,166.73019409179688
2020-06-30,166.75946044921875
2020-07-01,167.6663360595703
2020-07-02,167.88087463378906
2020-07-06,171.6351776123047
2020-07-07,169.1973114013672
2020-07-08,171.5376739501953
2020-07-09,173.1466522216797
2020-07-10,174.5508575439453
2020-07-13,171.94723510742188
2020-07-14,173.67323303222656
2020-07-15,174.5508575439453
2020-07-16,172.98086547851562
2020-07-17,173.1466522216797
2020-07-20,176.29635620117188
2020-07-21,176.35487365722656
2020-07-22,178.48069763183594
2020-07-23,177.6518096923828
2020-07-24,174.73614501953125
2020-07-27,175.45774841308594
2020-07-28,174.44358825683594
2020-07-29,177.6713409423828
2020-07-30,176.52066040039062
2020-07-31,177.18373107910156
2020-08-03,181.81568908691406
2020-08-04,180.89903259277344
2020-08-05,182.08872985839844
2020-08-06,182.00096130371094
2020-08-07,181.32810974121094
2020-08-10,179.67034912109375
2020-08-11,180.87957763671875
2020-08-12,187.8420867919922
2020-08-13,189.49008178710938
2020-08-14,189.4705810546875
2020-08-17,192.28875732421875
2020-08-18,191.4208526611328
2020-08-19,189.87037658691406
2020-08-20,190.1726837158203
2020-08-21,188.9927520751953
2020-08-24,190.57247924804688
2020-08-25,192.40573120117188
2020-08-26,194.33653259277344
2020-08-27,190.65049743652344
2020-08-28,191.4208526611328
2020-08-31,189.90939331054688
2020-09-01,190.70901489257812
2020-09-02,191.80116271972656
2020-09-03,186.2233428955078
2020-09-04,186.97421264648438
2020-09-08,181.22084045410156
2020-09-09,184.71185302734375
2020-09-10,183.19064331054688
2020-09-11,186.95469665527344
2020-09-14,187.21798706054688
2020-09-15,186.8181610107422
2020-09-16,184.15602111816406
2020-09-17,185.4139862060547
2020-09-18,183.2491455078125
2020-09-21,179.5240936279297
2020-09-22,178.7439727783203
2020-09-23,177.0667266845703
2020-09-24,178.28565979003906
2020-09-25,176.74493408203125
