Price,Adj Close,Close,High,Low,Open,Volume,return,volatility
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,,
2020-01-02,68.12372589111328,68.36849975585938,68.40699768066406,67.07749938964844,67.07749938964844,28132000,,
2020-01-03,67.78942108154297,68.03299713134766,68.625,67.2771987915039,67.39299774169922,23728000,-0.4907269074351239,
2020-01-06,69.46092224121094,69.71050262451172,69.82499694824219,67.5,67.5,34646000,2.465723345871984,
2020-01-07,69.4175796508789,69.66699981689453,70.14949798583984,69.51899719238281,69.89700317382812,30054000,-0.0624049547476524,
2020-01-08,69.96461486816406,70.21600341796875,70.5790023803711,69.54199981689453,69.60399627685547,30560000,0.788039678064445,
2020-01-09,70.7373275756836,70.99150085449219,71.36650085449219,70.51349639892578,71.02850341796875,30018000,1.104445423797773,18.220421624637098
2020-01-10,71.2305679321289,71.48650360107422,71.74645233154297,70.9175033569336,71.37799835205078,36414000,0.6972704346631886,14.688254239028367
2020-01-13,71.70386505126953,71.96150207519531,72.0260009765625,71.3010025024414,71.80650329589844,33046000,0.6644589540590662,6.804142335556123
2020-01-14,71.28785705566406,71.54399871826172,72.08999633789062,71.41850280761719,71.95050048828125,31178000,-0.5801759897914982,10.272553947661066
2020-01-15,71.70236206054688,71.95999908447266,72.06974792480469,71.510498046875,71.510498046875,25654000,0.5814608823433653,10.054094563060172
2020-01-16,72.32512664794922,72.58499908447266,72.59950256347656,72.0459976196289,72.37200164794922,23474000,0.8685380877594628,9.259023300103411
2020-01-17,73.7544937133789,74.01950073242188,74.06475067138672,72.91100311279297,73.14550018310547,47924000,1.9763059393026694,14.443849920627164
2020-01-21,73.95427703857422,74.22000122070312,74.59249877929688,73.55999755859375,73.95600128173828,40734000,0.2708752238224976,14.774969400867215
2020-01-22,74.03150177001953,74.29750061035156,75.16069793701172,74.24649810791016,74.55000305175781,32216000,0.1044184699188877,11.751657440421143
2020-01-23,74.06636810302734,74.3324966430664,74.7760009765625,74.1050033569336,74.38200378417969,27024000,0.047102570648216435,12.827120543876674
2020-01-24,73.07294464111328,73.33550262451172,74.77474975585938,73.26249694824219,74.67949676513672,35692000,-1.3412626557427587,18.728606621677656
2020-01-27,71.43831634521484,71.69499969482422,71.90350341796875,71.05999755859375,71.55000305175781,35104000,-2.236983276827198,17.56573209218155
2020-01-28,72.36798095703125,72.62799835205078,72.80000305175781,71.62349700927734,72.1500015258789,31548000,1.301344112138847,21.89049360278134
2020-01-29,72.6703872680664,72.93150329589844,73.27149963378906,72.33699798583984,72.94000244140625,21554000,0.41788972673661995,22.473537257971095
2020-01-30,72.53138732910156,72.79199981689453,72.86399841308594,71.81999969482422,71.99800109863281,26788000,-0.19128013642871755,22.26262690992788
2020-01-31,71.45475769042969,71.71150207519531,73.50650024414062,71.42649841308594,73.44499969482422,48344000,-1.4843633152230584,22.659366407493295
2020-02-03,74.03099822998047,74.2969970703125,74.5,72.94950103759766,73.0999984741211,60736000,3.6054118520709277,30.165744266893622
2020-02-04,72.0944595336914,72.35350036621094,73.4749984741211,71.31500244140625,72.85350036621094,78660000,-2.615848258661513,37.43307404492749
2020-02-05,72.15225219726562,72.4114990234375,73.19200134277344,71.52799987792969,73.12100219726562,39724000,0.08016012623164315,37.2413528524662
2020-02-06,73.5472412109375,73.8115005493164,74.0999984741211,72.47850036621094,72.5165023803711,33588000,1.9333966908015032,39.94585389448401
2020-02-07,73.69670104980469,73.96150207519531,74.29199981689453,73.31749725341797,73.36499786376953,23446000,0.20322243114225813,36.864488195911676
2020-02-10,75.16393280029297,75.43399810791016,75.4749984741211,73.71600341796875,73.71600341796875,28398000,1.9908952514482214,29.788812872510068
2020-02-11,75.1694107055664,75.43949890136719,76.48149871826172,75.28189849853516,75.59049987792969,26892000,0.007292193964270055,16.259316958040788
2020-02-12,75.64170837402344,75.91349792480469,76.03475189208984,75.40550231933594,75.7239990234375,23352000,0.6283167708433846,15.060617507690553
2020-02-13,75.46186065673828,75.73300170898438,76.35900115966797,75.2300033569336,75.6344985961914,18590000,-0.23776564215115537,14.00352624710342
2020-02-14,75.76477813720703,76.03700256347656,76.03700256347656,75.36699676513672,75.77999877929688,23956000,0.401411336712032,13.791593232190028
2020-02-18,75.71146392822266,75.9834976196289,76.58149719238281,75.62950134277344,75.75,22414000,-0.0703669819217212,5.674968741350899
2020-02-19,76.06121063232422,76.33450317382812,76.60530090332031,76.06999969482422,76.25350189208984,18986000,0.46194971960404896,5.889842115073208
2020-02-20,75.63573455810547,75.90750122070312,76.48200225830078,75.34100341796875,76.0999984741211,21932000,-0.5593826321927287,6.868903842226486
2020-02-21,73.9896469116211,74.25550079345703,75.61074829101562,74.02200317382812,75.40149688720703,34634000,-2.1763335647722815,17.159863865159295
2020-02-24,70.82501220703125,71.07949829101562,71.84850311279297,70.56950378417969,71.30549621582031,57342000,-4.277127577760886,30.52829920191548
2020-02-25,69.1739501953125,69.42250061035156,71.90699768066406,69.12000274658203,71.6500015258789,49566000,-2.331189330965644,28.851363652010168
2020-02-26,69.40960693359375,69.65899658203125,70.78500366210938,68.94999694824219,69.80699920654297,44048000,0.34066184536778454,28.265443245165407
2020-02-27,65.66854858398438,65.90450286865234,68.58519744873047,65.8584976196289,68.10299682617188,59566000,-5.389818828293869,34.92034855674854
2020-02-28,66.72674560546875,66.96649932861328,67.05699920654297,63.54999923706055,63.875,75782000,1.6114171471371286,47.16256944820742
2020-03-02,69.20683288574219,69.45549774169922,69.54350280761719,66.34075164794922,67.58049774169922,48630000,3.716781432566907,56.21991675278205
2020-03-03,66.82937622070312,67.06950378417969,70.50749969482422,66.5999984741211,69.97100067138672,48046000,-3.4352845132474608,59.07052025635372
2020-03-04,69.07779693603516,69.32599639892578,69.40450286865234,67.15550231933594,67.96150207519531,38266000,3.364409288023329,65.72994966878521
2020-03-05,65.71588134765625,65.9520034790039,67.94550323486328,65.25499725341797,67.51000213623047,51226000,-4.866850958054392,63.09358224160187
2020-03-06,64.68807220458984,64.92050170898438,65.31099700927734,63.0525016784668,63.85300064086914,53212000,-1.564018855542293,62.25361997145477
2020-03-09,60.56039810180664,60.77799987792969,62.737998962402344,60.0,60.26499938964844,67308000,-6.380883884145039,59.80713007914227
2020-03-10,63.7902946472168,64.01950073242188,64.05750274658203,60.938499450683594,63.0,52228000,5.333345718849936,80.64300843597894
2020-03-11,60.55292892456055,60.77050018310547,63.04800033569336,59.80350112915039,62.48500061035156,52170000,-5.075017005983917,75.10284480926848
2020-03-12,55.545921325683594,55.74549865722656,59.69350051879883,55.665000915527344,56.29999923706055,84534000,-8.268817124654648,85.05116427828908
2020-03-13,60.76815414428711,60.98649978637695,60.987998962402344,55.85715103149414,58.95000076293945,74002000,9.401657991036693,124.66824025903615
2020-03-16,54.02239227294922,54.21649932861328,57.61334991455078,53.72200012207031,54.79999923706055,85048000,-11.100818183495653,140.9477504414469
2020-03-17,55.78954315185547,55.9900016784668,56.542999267578125,52.800498962402344,54.65549850463867,77230000,3.2711487680237017,134.87111560990564
2020-03-18,54.64365768432617,54.84000015258789,55.32500076293945,51.86399841308594,52.82550048828125,84668000,-2.053940866948012,132.71994499303364
2020-03-19,55.564849853515625,55.76449966430664,57.89849853515625,53.005401611328125,54.65250015258789,73022000,1.6858123799168512,120.13618743078396
2020-03-20,53.42404556274414,53.61600112915039,57.199501037597656,53.27450180053711,56.7859992980957,72036000,-3.8528069795118136,89.37429735960117
2020-03-23,52.64185333251953,52.83100128173828,53.566001892089844,50.67679977416992,53.066001892089844,80882000,-1.4641148740675347,45.99734225853547
2020-03-24,56.51991653442383,56.722999572753906,56.75,54.53099822998047,55.188499450683594,66890000,7.366883452123685,69.98914153416048
2020-03-25,54.92714309692383,55.1245002746582,57.44499969482422,54.300498962402344,56.32350158691406,81630000,-2.8180796328400093,71.81957429607438
2020-03-26,57.87953567504883,58.087501525878906,58.49850082397461,54.67649841308594,55.59000015258789,71434000,5.375107686160474,80.88494459394346
2020-03-27,55.336669921875,55.535499572753906,57.53350067138672,55.295501708984375,56.28350067138672,64170000,-4.393375314977255,82.95951204078739
2020-03-30,57.135704040527344,57.340999603271484,57.58150100708008,54.82400131225586,56.25199890136719,51482000,3.251073717545827,81.54624357902136
2020-03-31,57.932342529296875,58.140499114990234,58.765499114990234,56.90700149536133,57.3650016784668,49728000,1.3942894564975994,65.00340160850453
2020-04-01,55.08307647705078,55.28099822998047,56.484500885009766,54.872501373291016,56.099998474121094,46884000,-4.918259953968141,73.08993212559612
2020-04-02,55.84135437011719,56.04199981689453,56.34299850463867,54.81999969482422,54.91299819946289,39298000,1.3766060875893382,59.2563797144966
2020-04-03,54.69746780395508,54.89400100708008,56.176998138427734,53.990501403808594,55.950748443603516,46268000,-2.048461535215196,51.81484841700593
2020-04-06,59.13352966308594,59.34600067138672,59.733001708984375,56.547000885009766,56.900001525878906,53294000,8.110175215197813,77.336343193501
2020-04-07,59.113101959228516,59.32550048828125,61.25,59.11149978637695,61.04999923706055,47746000,-0.03454349555749303,77.28990301656025
2020-04-08,60.29734802246094,60.513999938964844,60.95349884033203,59.40800094604492,60.32500076293945,39502000,2.0033534330121006,60.543082401640724
2020-04-09,60.35563278198242,60.5724983215332,61.278499603271484,59.83675003051758,61.20399856567383,43508000,0.09666917180712886,61.88251272254853
2020-04-13,60.66004180908203,60.87799835205078,61.0255012512207,59.37990188598633,60.45899963378906,34796000,0.5043543505435677,54.554266287897185
2020-04-14,63.23428726196289,63.46149826049805,64.10350036621094,61.846500396728516,62.25450134277344,49408000,4.243733332865451,28.621115399996228
2020-04-15,62.89750289916992,63.12350082397461,64.02300262451172,62.02000045776367,62.28049850463867,33434000,-0.5326023585765616,30.3208845437565
2020-04-16,62.947322845458984,63.173500061035156,63.95000076293945,62.13100051879883,63.70500183105469,50362000,0.07920859332559704,30.43822133174967
2020-04-17,63.93278503417969,64.1624984741211,64.72149658203125,63.561500549316406,64.24250030517578,38980000,1.5655273368270217,29.842409603456442
2020-04-20,63.103763580322266,63.330501556396484,64.08000183105469,63.06850051879883,63.54999923706055,33910000,-1.2967028053936902,34.721438398454765
2020-04-21,60.59926223754883,60.81700134277344,62.7135009765625,60.48550033569336,62.349998474121094,43060000,-3.9688620046451795,32.45931303988307
2020-04-22,62.93436813354492,63.160499572753906,64.28064727783203,62.099998474121094,62.277000427246094,41848000,3.8533603733143185,46.774625742391
2020-04-23,63.5870246887207,63.81549835205078,64.66549682617188,63.28350067138672,63.57749938964844,31324000,1.0370386297251954,47.308046206453064
2020-04-24,63.736488342285156,63.96549987792969,64.0199966430664,62.47249984741211,63.05849838256836,32792000,0.23505500975860016,45.87737148082123
2020-04-27,63.56560134887695,63.79399871826172,64.80750274658203,63.45000076293945,64.80000305175781,32012000,-0.26811509328505956,44.65011120297127
2020-04-28,61.46265411376953,61.68349838256836,64.40249633789062,61.61000061035156,64.39649963378906,59026000,-3.3083054489406183,40.87181447735881
2020-04-29,66.83385467529297,67.0739974975586,67.99949645996094,66.26699829101562,67.072998046875,75872000,8.738964644251723,71.09762196854642
