Date,ORCL
2020-01-02,49.82102584838867
2020-01-03,49.645565032958984
2020-01-06,49.90413284301758
2020-01-07,50.01494598388672
2020-01-08,50.209747314453125
2020-01-09,50.4416389465332
2020-01-10,50.506561279296875
2020-01-13,50.62715530395508
2020-01-14,50.905433654785156
2020-01-15,50.79410171508789
2020-01-16,51.415584564208984
2020-01-17,51.13731384277344
2020-01-21,51.22079849243164
2020-01-22,50.75700759887695
2020-01-23,50.99817657470703
2020-01-24,50.15407943725586
2020-01-27,48.8740348815918
2020-01-28,49.588260650634766
2020-01-29,49.34708786010742
2020-01-30,49.449127197265625
2020-01-31,48.65141296386719
2020-02-03,49.245052337646484
2020-02-04,50.12625503540039
2020-02-05,50.775569915771484
2020-02-06,50.74773025512695
2020-02-07,50.75700759887695
2020-02-10,51.00745391845703
2020-02-11,51.15586853027344
2020-02-12,51.69385528564453
2020-02-13,51.30428695678711
2020-02-14,51.45268249511719
2020-02-18,51.434139251708984
2020-02-19,51.424861907958984
2020-02-20,51.48979568481445
2020-02-21,50.71990203857422
2020-02-24,48.83692932128906
2020-02-25,47.269325256347656
2020-02-26,48.2803840637207
2020-02-27,47.10236358642578
2020-02-28,45.87794876098633
2020-03-02,47.213661193847656
2020-03-03,45.3121337890625
2020-03-04,46.87974166870117
2020-03-05,44.52369689941406
2020-03-06,43.939308166503906
2020-03-09,42.67781066894531
2020-03-10,45.061683654785156
2020-03-11,41.481239318847656
2020-03-12,36.91756820678711
2020-03-13,44.45875930786133
2020-03-16,39.62609100341797
2020-03-17,43.466251373291016
2020-03-18,43.846561431884766
2020-03-19,41.80588912963867
2020-03-20,42.343894958496094
2020-03-23,40.9896240234375
2020-03-24,44.37527084350586
2020-03-25,42.612884521484375
2020-03-26,46.8240852355957
2020-03-27,46.221160888671875
2020-03-30,46.712772369384766
2020-03-31,44.82979202270508
2020-04-01,45.18227005004883
2020-04-02,46.19332504272461
2020-04-03,45.822303771972656
2020-04-06,47.76093292236328
2020-04-07,47.08380889892578
2020-04-08,48.58429718017578
2020-04-09,49.56287384033203
2020-04-13,49.367164611816406
2020-04-14,50.32709884643555
2020-04-15,49.54423904418945
2020-04-16,50.04750442504883
2020-04-17,50.904930114746094
2020-04-20,50.24322509765625
2020-04-21,47.82007598876953
2020-04-22,48.71477127075195
2020-04-23,48.4351806640625
2020-04-24,49.4044303894043
2020-04-27,49.739952087402344
2020-04-28,49.58151626586914
2020-04-29,50.215267181396484
2020-04-30,49.367164611816406
2020-05-01,48.26742172241211
2020-05-04,48.23014450073242
2020-05-05,48.50973892211914
2020-05-06,48.33266067504883
2020-05-07,49.02231979370117
2020-05-08,49.92635726928711
2020-05-11,49.889068603515625
2020-05-12,48.71477127075195
2020-05-13,48.136940002441406
2020-05-14,49.31124496459961
2020-05-15,49.320560455322266
2020-05-18,49.534908294677734
2020-05-19,48.78001022338867
2020-05-20,49.30192947387695
2020-05-21,48.668182373046875
2020-05-22,49.04096984863281
2020-05-26,49.190093994140625
2020-05-27,49.58151626586914
2020-05-28,49.97295379638672
2020-05-29,50.11274719238281
2020-06-01,49.45104217529297
2020-06-02,49.65608215332031
2020-06-03,49.85179138183594
2020-06-04,49.25531768798828
2020-06-05,50.30846405029297
2020-06-08,51.35228729248047
2020-06-09,50.49486541748047
2020-06-10,50.429630279541016
2020-06-11,47.82007598876953
2020-06-12,48.33266067504883
2020-06-15,49.62812042236328
2020-06-16,50.87697219848633
2020-06-17,48.015785217285156
2020-06-18,50.03818893432617
2020-06-19,50.69990539550781
2020-06-22,51.370914459228516
2020-06-23,51.436161041259766
2020-06-24,50.73716735839844
2020-06-25,50.8210563659668
2020-06-26,50.49486541748047
2020-06-29,51.035404205322266
2020-06-30,51.51071548461914
2020-07-01,51.71575927734375
2020-07-02,52.13515090942383
2020-07-06,52.7502555847168
2020-07-07,52.479984283447266
2020-07-08,52.80617904663086
2020-07-09,53.61700439453125
2020-07-10,53.48653030395508
2020-07-13,53.13236999511719
2020-07-14,53.53482437133789
2020-07-15,52.99199676513672
2020-07-16,52.243255615234375
2020-07-17,51.3822021484375
2020-07-20,51.850162506103516
2020-07-21,52.327484130859375
2020-07-22,52.42107009887695
2020-07-23,52.18709182739258
2020-07-24,52.08414840698242
2020-07-27,51.79399871826172
2020-07-28,51.803367614746094
2020-07-29,52.130943298339844
2020-07-30,51.70977020263672
2020-07-31,51.89695739746094
2020-08-03,52.39299392700195
2020-08-04,52.41172409057617
2020-08-05,51.94375991821289
2020-08-06,51.73783874511719
2020-08-07,51.69104766845703
2020-08-10,51.41962814331055
2020-08-11,50.792572021484375
2020-08-12,50.698978424072266
2020-08-13,50.558589935302734
2020-08-14,50.72706604003906
2020-08-17,50.530521392822266
2020-08-18,51.64425277709961
2020-08-19,52.59890365600586
2020-08-20,51.7191276550293
2020-08-21,51.65361404418945
2020-08-24,52.42107009887695
2020-08-25,52.49595260620117
2020-08-26,53.806243896484375
2020-08-27,53.5161018371582
2020-08-28,54.1712532043457
2020-08-31,53.553550720214844
2020-09-01,53.96535110473633
2020-09-02,55.24756622314453
2020-09-03,53.441226959228516
2020-09-04,52.15901565551758
2020-09-08,51.775291442871094
2020-09-09,53.300838470458984
2020-09-10,53.656494140625
2020-09-11,53.347633361816406
2020-09-14,55.650020599365234
2020-09-15,57.03517532348633
2020-09-16,56.557857513427734
2020-09-17,56.32387161254883
2020-09-18,55.92143630981445
2020-09-21,56.92287063598633
2020-09-22,56.73567581176758
2020-09-23,55.18204879760742
2020-09-24,55.500267028808594
2020-09-25,55.96822738647461
