team,vol_change_5d_mean,vol_change_5d_std,vol_change_5d_min,vol_change_5d_max,vol_change_20d_mean,vol_change_20d_std,vol_change_20d_min,vol_change_20d_max
Ferrari,-10.79669379641509,11.992374499726475,-25.448467886611724,-0.06370413958801668,-23.086840888317035,16.004584022732846,-42.755369441423085,-3.6537412960328197
McLaren,-0.47563949798054284,4.940556404153,-5.5397169379438616,4.873447514914608,-20.5228623596179,15.929598462092132,-35.953286051017606,-2.7969554829545773
Red Bull,8.408793830388461,43.84868683027745,-28.917052921229402,68.14300466012978,68.73164080555618,87.81747458406929,-2.1295405138673673,181.31031152454574
